               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.041447,            0.025481,            0.011386,             0.45717,             0.58128,             0.50768,             0.29475,            0.035317,            0.015109,           0.0083311,           0.0096193,           0.0096193,           0.0096193
                  37,             0.04137,            0.025399,            0.011257,             0.44868,             0.59038,             0.50782,             0.29484,            0.035304,            0.015106,           0.0083209,           0.0095976,           0.0095976,           0.0095976
                  38,            0.041279,             0.02528,            0.011381,             0.45906,             0.58048,             0.50836,             0.29496,            0.035292,            0.015097,           0.0083118,           0.0095754,           0.0095754,           0.0095754
                  39,             0.04142,            0.025411,            0.011303,             0.46491,             0.57508,             0.50858,             0.29523,            0.035278,            0.015092,           0.0083041,           0.0095525,           0.0095525,           0.0095525
                  40,            0.041145,            0.025234,            0.011297,             0.45246,             0.58757,             0.50891,             0.29548,            0.035265,             0.01508,           0.0083018,           0.0095292,           0.0095292,           0.0095292
                  41,            0.041443,            0.025293,            0.011274,              0.4547,             0.58617,             0.50897,               0.296,            0.035253,            0.015065,            0.008294,           0.0095052,           0.0095052,           0.0095052
                  42,            0.041329,            0.025263,            0.011183,             0.45499,             0.58713,             0.50971,             0.29618,             0.03524,            0.015054,           0.0082875,           0.0094807,           0.0094807,           0.0094807
                  43,            0.041208,            0.025235,            0.011267,             0.45117,             0.59272,             0.50997,             0.29649,            0.035223,            0.015042,            0.008284,           0.0094557,           0.0094557,           0.0094557
                  44,            0.041246,            0.025141,            0.011238,              0.4586,              0.5863,             0.51009,             0.29679,             0.03521,            0.015034,           0.0082755,           0.0094301,           0.0094301,           0.0094301
                  45,            0.041047,            0.025211,            0.011212,             0.46577,             0.58018,             0.51057,             0.29695,            0.035203,            0.015027,           0.0082603,            0.009404,            0.009404,            0.009404
                  46,             0.04113,            0.025144,            0.011226,             0.46413,             0.58285,             0.51108,              0.2971,            0.035187,            0.015017,           0.0082504,           0.0093773,           0.0093773,           0.0093773
                  47,            0.041133,             0.02528,            0.011025,             0.46858,             0.57947,             0.51201,             0.29731,             0.03518,            0.015014,           0.0082295,           0.0093501,           0.0093501,           0.0093501
