               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.03804,            0.049087,            0.010648,             0.45778,             0.47658,             0.43352,             0.25671,            0.033279,            0.034387,           0.0094351,            0.007816,            0.007816,            0.007816
                  37,             0.03789,            0.049001,            0.010603,             0.44584,             0.48779,             0.43391,             0.25719,            0.033266,            0.034383,           0.0094241,           0.0077031,           0.0077031,           0.0077031
                  38,            0.037713,            0.048952,            0.010319,             0.44822,             0.48491,             0.43435,             0.25767,            0.033249,            0.034364,           0.0094131,           0.0075886,           0.0075886,           0.0075886
                  39,            0.037853,            0.048427,            0.010398,             0.44712,             0.48644,              0.4348,             0.25802,            0.033236,             0.03434,           0.0094001,           0.0074725,           0.0074725,           0.0074725
                  40,            0.037671,            0.048395,             0.01029,             0.43888,             0.49496,             0.43529,             0.25818,            0.033223,            0.034303,           0.0093825,            0.007355,            0.007355,            0.007355
                  41,            0.037545,            0.048571,            0.010389,             0.44466,             0.49017,             0.43561,             0.25842,            0.033212,            0.034278,           0.0093689,           0.0072361,           0.0072361,           0.0072361
                  42,            0.037613,            0.048424,            0.010123,             0.46953,             0.47007,             0.43625,             0.25889,            0.033194,            0.034249,           0.0093547,            0.007116,            0.007116,            0.007116
                  43,            0.037533,            0.048728,            0.010068,             0.44294,             0.49325,             0.43683,             0.25917,            0.033181,            0.034225,           0.0093438,           0.0069948,           0.0069948,           0.0069948
                  44,            0.037437,            0.048748,            0.010177,             0.44564,             0.49101,             0.43735,             0.25963,            0.033163,            0.034194,            0.009327,           0.0068726,           0.0068726,           0.0068726
                  45,            0.037341,            0.048816,            0.010133,             0.45495,             0.48394,             0.43781,             0.26003,            0.033144,            0.034168,           0.0093192,           0.0067495,           0.0067495,           0.0067495
                  46,            0.037314,            0.048201,           0.0099212,             0.44451,             0.49358,             0.43816,             0.26029,            0.033126,            0.034148,           0.0093074,           0.0066257,           0.0066257,           0.0066257
                  47,            0.037255,            0.048505,           0.0098225,             0.44587,             0.49221,             0.43845,              0.2607,            0.033114,            0.034126,           0.0092958,           0.0065013,           0.0065013,           0.0065013
                  48,            0.037389,            0.048685,           0.0099056,             0.44538,             0.49336,              0.4389,             0.26092,              0.0331,            0.034103,            0.009286,           0.0063764,           0.0063764,           0.0063764
                  49,            0.037023,            0.048246,           0.0097351,             0.43619,             0.50099,             0.43921,             0.26119,             0.03308,            0.034063,           0.0092762,           0.0062512,           0.0062512,           0.0062512
                  50,             0.03704,            0.048219,           0.0097166,             0.43606,             0.50197,             0.43963,             0.26141,            0.033071,            0.034039,            0.009264,           0.0061256,           0.0061256,           0.0061256
                  51,             0.03688,            0.047612,           0.0097414,             0.43775,             0.50113,             0.44019,             0.26164,            0.033061,            0.034015,           0.0092552,               0.006,               0.006,               0.006
                  52,            0.036745,            0.048057,           0.0096718,             0.44825,             0.49233,             0.44052,             0.26192,            0.033047,            0.033996,           0.0092449,           0.0058744,           0.0058744,           0.0058744
